Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00254797583364645,-0.105364950303488,0.0738359878459792,0,0,0,1.72429372346292,0.0109314234954701,1.01485974615304E-06,-2.66870834625717E-06,0.0100303308363966,-0.000174340154658642,0.0186205966354496,0,0,0,0,0,0,package://project/meshes/base_link.STL,0,0.588235294117647,1,1,0,0,0,0,0,0,package://project/meshes/base_link.STL,,base-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_w_1,0.045247,-2.7756E-17,0,0,0,0,0.067513,2.5956E-05,7.2928E-22,9.0048E-22,2.4347E-05,-1.6941E-21,2.4347E-05,0,0,0,0,0,0,package://project/meshes/r_w_1.STL,0.75294,1,1,1,0,0,0,0,0,0,package://project/meshes/r_w_1.STL,,wheel-3,Origin_RJ_W_1,Axis_RJ_W_1,rj_w_1,fixed,0.0774877017107439,-0.0362774421458767,0.0299999999999999,2.74979624140029,0,0,base_link,0,0,0,,,,,,,,,,,,
r_w_2,0.045247,-2.7756E-17,0,0,0,0,0.067513,2.5956E-05,6.4099E-22,1.1251E-21,2.4347E-05,3.3881E-21,2.4347E-05,0,0,0,0,0,0,package://project/meshes/r_w_2.STL,0.75294,1,1,1,0,0,0,0,0,0,package://project/meshes/r_w_2.STL,,wheel-4,Origin_RJ_W_2,Axis_RJ_W_2,rj_w_2,fixed,0.0774877017107439,-0.161277442145877,0.03,2.74979624140029,0,0,base_link,0,0,0,,,,,,,,,,,,
l_w_1,0.045247,0,-2.7756E-17,0,0,0,0.067513,2.5956E-05,-2.48E-38,1.6701E-21,2.4347E-05,-9.985E-38,2.4347E-05,0,0,0,0,0,0,package://project/meshes/l_w_1.STL,0.75294,1,1,1,0,0,0,0,0,0,package://project/meshes/l_w_1.STL,,wheel-1,Origin_LJ_W_1,Axis_LJ_W_1,lj_w_1,fixed,-0.0825122982892561,-0.0362774421458766,0.03,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
l_w_2,0.045247,0,-1.3878E-17,0,0,0,0.067513,2.5956E-05,-2.48E-38,1.6701E-21,2.4347E-05,-9.985E-38,2.4347E-05,0,0,0,0,0,0,package://project/meshes/l_w_2.STL,0.75294,1,1,1,0,0,0,0,0,0,package://project/meshes/l_w_2.STL,,wheel-2,Origin_LJ_W_2,Axis_LJ_W_2,lj_w_2,fixed,-0.0825122982892561,-0.161277442145877,0.03,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
rlinkfix,0.013695,0.0023213,0,0,0,0,0.0082894,4.8067E-07,1.1015E-07,1.6944E-24,7.3247E-07,-1.1815E-22,9.2231E-07,0,0,0,0,0,0,package://project/meshes/rlinkfix.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://project/meshes/rlinkfix.STL,,Right arm-1/holder-2,Origin_RJOINTFIX,,rjointfix,fixed,0.12249,0.010723,0.0455,-1.5708,0,3.1416,base_link,0,0,0,0,0,0,6,,,,,,,,
rlink1,0.0108,-0.061252,-0.005,0,0,0,0.024063,2.9968E-05,5.1006E-06,1.1845E-22,1.9407E-06,3.1047E-22,3.1508E-05,0,0,0,0,0,0,package://project/meshes/rlink1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://project/meshes/rlink1.STL,,Right arm-1/R1-1,Origin R1,R1axis,rjoint1,revolute,0.0075887,0.0075,0.0021635,1.5708,0,0,rlinkfix,0,0,1,100,0,0,6,,,,,,,,
rlink2,0.0078142,-0.044316,0.005,0,0,0,0.018063,1.328E-05,2.2021E-06,5.5109E-23,1.1796E-06,4.6261E-23,1.4159E-05,0,0,0,0,0,0,package://project/meshes/rlink2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://project/meshes/rlink2.STL,,Right arm-1/R2-1,Origin R2,R2axis,rjoint2,revolute,0.021219,-0.12034,0,0,0,0,rlink1,0,0,1,100,0,0,6,,,,,,,,
rlink3,0.021651,-0.0125,-0.005,0,0,0,0.010063,1.072E-06,1.0635E-06,1.3247E-22,2.3E-06,-1.4399E-22,3.2043E-06,0,0,0,0,0,0,package://project/meshes/rlink3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://project/meshes/rlink3.STL,,Right arm-1/R3-1,Origin R3,R3axis,rjoint3,revolute,0.015628,-0.088633,0,0,0,0,rlink2,0,0,-1,100,0,0,6,,,,,,,,
llinkfix,0.011605,0.0014703,0.0086858,0,0,0,0.013088,1.8023E-06,7.0053E-08,4.111E-07,2.1488E-06,-2.042E-07,1.2297E-06,0,0,0,0,0,0,package://project/meshes/llinkfix.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://project/meshes/llinkfix.STL,,Leftarm-1/leftholder-1,Origin_LJOINTFIX,,ljointfix,fixed,-0.12751,0.010723,0.0455,-1.5708,0,0,base_link,0,0,0,0,0,0,6,,,,,,,,
llink1,-0.039956,-0.0225,-0.005,0,0,0,0.018063,4.0107E-06,-5.576E-06,-5.8674E-22,1.0449E-05,-1.8805E-22,1.4159E-05,0,0,0,0,0,0,package://project/meshes/llink1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://project/meshes/llink1.STL,,Leftarm-1/R2-1,Origin L1,L1axis,ljoint1,revolute,0.0069795,0.0075,0.019298,-1.5708,0,3.1416,llinkfix,0,0,1,100,0,0,6,,,,,,,,
llink2,-0.021651,-0.0125,0.005,0,0,0,0.010063,1.072E-06,-1.0635E-06,-4.3753E-22,2.3E-06,-2.1921E-22,3.2043E-06,0,0,0,0,0,0,package://project/meshes/llink2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://project/meshes/llink2.STL,,Leftarm-1/R3-1,Origin L2,L2axis,ljoint2,revolute,-0.078927,-0.045,0,0,0,0,llink1,0,0,-1,100,0,0,6,,,,,,,,
